"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist_name"
"12","2AAx5D9aJnP6XK859Q1Pyl","Leisure","https://i.scdn.co/image/520d3385f36843b4710298fe087a8e4544f8fcbc","1991-08-26",1991-08-26,37,"Wear Me Down - 2012 Remastered Version","27BCrpDPMqknIWeds5CxMk",0.362,0.906,"F",-6.651,"major",0.038,0.00154,0.000187,0.0857,0.254,95.038,291507,4,"F major",24,"Blur"
"13","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"For Tomorrow - 2012 Remastered Version","3UFAFyRvZ4gFORAoI1pFWQ",0.631,0.84,"D",-6.025,"major",0.0285,0.0143,0,0.0712,0.653,95.849,261240,4,"D major",35,"Blur"
"14","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Advert - 2012 Remastered Version","1nRJspMBtxOEskfkLzHJHG",0.63,0.922,"D",-5.89,"major",0.0439,0.00235,2.97e-06,0.108,0.863,137.596,225413,4,"D major",30,"Blur"
"15","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Colin Zeal - 2012 Remastered Version","7dU0naThnlYiA3EaQlMFhg",0.596,0.828,"A",-6.791,"minor",0.0403,0.0135,0,0.0683,0.676,128.427,196240,4,"A minor",28,"Blur"
"16","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Pressure On Julian - 2012 Remastered Version","5DBULwnLOtlM7tVhFOubgV",0.415,0.875,"C#",-6.111,"major",0.0566,0.00501,2.27e-05,0.0636,0.159,129.38,211880,4,"C# major",26,"Blur"
"17","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Star Shaped - 2012 Remastered Version","10eUvYOrxYT4nO31Sa5dYt",0.487,0.893,"A",-5.855,"major",0.0597,0.0181,0,0.0809,0.598,128.183,206853,4,"A major",28,"Blur"
"18","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Blue Jeans - 2012 Remastered Version","6Gf8mol1cgqSlNzE1mfQng",0.65,0.707,"C#",-8.203,"minor",0.0275,0.044,0,0.0859,0.78,106.545,234653,4,"C# minor",34,"Blur"
"19","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Chemical World (Including 'Intermission') - 2012 Remastered Version","1JVsEciUZKtji9oAC9LMz1",0.312,0.816,"D",-7.527,"major",0.0473,0.0372,8.53e-05,0.159,0.551,140.744,393760,4,"D major",41,"Blur"
"20","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Sunday Sunday - 2012 Remastered Version","127M7vBbwxeCHO6AEQkMNx",0.342,0.857,"G",-5.985,"major",0.0456,0.00318,0,0.354,0.857,118.645,158360,4,"G major",30,"Blur"
"21","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Oily Water - 2012 Remastered Version","4tRXWl0OES4ZwHAvyiCqOX",0.281,0.893,"F#",-6.203,"minor",0.0572,0.00103,0.0516,0.0965,0.407,105.774,301080,4,"F# minor",26,"Blur"
"22","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Miss America - 2012 Remastered Version","05Z7P0sjCNkFXM5XIgIiaW",0.266,0.461,"D",-11.97,"minor",0.0345,0.0506,0.00377,0.241,0.207,78.51,335053,4,"D minor",28,"Blur"
"23","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Villa Rosie - 2012 Remastered Version","3V8XBqBfJemhd1CP3tRZIB",0.456,0.748,"C",-6.632,"major",0.0346,0.0662,0,0.0942,0.586,96.438,234907,4,"C major",25,"Blur"
"24","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Coping - 2012 Remastered Version","4crfCZJyxUXMevLJ5kH7Ia",0.572,0.963,"C#",-5.707,"minor",0.0607,0.00239,0,0.196,0.924,122.605,204747,4,"C# minor",24,"Blur"
"25","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Turn It Up - 2012 Remastered Version","1DHE8qDURQBr0oOBfjruPZ",0.508,0.944,"D",-6.765,"major",0.113,7.03e-05,0.000557,0.349,0.284,124.037,202840,4,"D major",24,"Blur"
"26","23mDNB6otna4M0e8MORCsZ","Modern Life Is Rubbish","https://i.scdn.co/image/c988d74540644bde2a36591901149f5829655fa4","1993-05-10",1993-05-10,38,"Resigned (Including 'Commercial Break') - 2012 Remastered Version","3S12H9ZOlr3csdkMoblfDO",0.454,0.77,"D",-8.18,"minor",0.0322,0.000132,0.581,0.0445,0.385,107.991,372507,4,"D minor",23,"Blur"
"27","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Girls and Boys - 2012 Remastered Version","5OS6hw3tFeWUiT3NPQyUM8",0.688,0.936,"G",-6.658,"minor",0.0377,0.0138,0,0.068,0.924,120.135,291200,4,"G minor",43,"Blur"
"28","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Tracy Jacks - 2012 Remastered Version","0hgHxwMSUZjufTdQJNuaim",0.636,0.86,"E",-5.767,"major",0.0425,0.0977,0,0.127,0.346,121.508,259627,4,"E major",41,"Blur"
"29","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"End of a Century - 2012 Remastered Version","4em17FyyrOE8Miw8rJwJhn",0.446,0.686,"G",-7.348,"major",0.0303,0.211,0,0.205,0.493,80.571,165840,4,"G major",48,"Blur"
"30","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Parklife - 2012 Remastered Version","3R9bx0Y0yBLZqEvbhF7aV2",0.627,0.891,"E",-6.094,"major",0.0676,0.121,0,0.281,0.722,138.79,185093,4,"E major",43,"Blur"
"31","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Bank Holiday - 2012 Remastered Version","6EU3L1HVLs1adpB3qBhcHS",0.241,0.944,"G",-5.809,"major",0.182,0.0277,0,0.163,0.254,175.912,102307,4,"G major",36,"Blur"
"32","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Badhead - 2012 Remastered Version","11rOwWuMAoucTDo6PQA9ny",0.543,0.616,"G",-8.711,"major",0.0266,0.0535,0.000335,0.555,0.45,111.079,205773,4,"G major",39,"Blur"
"33","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"The Debt Collector - 2012 Remastered Version","6dtoq7izygFBc8pYOCoCMi",0.363,0.391,"E",-11.884,"major",0.0322,0.076,0.282,0.483,0.567,186.628,130720,3,"E major",33,"Blur"
"34","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Far Out - 2012 Remastered Version","3xqevaAjYqyJH0c4ZUKBZR",0.607,0.167,"F",-13.968,"major",0.0459,0.935,1.35e-05,0.0836,0.14,103.512,97547,4,"F major",31,"Blur"
"35","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"To the End - 2012 Remastered Version","1zik688giABqGosNAot3xw",0.524,0.634,"D",-8.968,"major",0.0249,0.0166,6.78e-05,0.0895,0.634,96.289,244600,4,"D major",36,"Blur"
"36","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"London Loves - 2012 Remastered Version","78tsvl0m7A0F9UjEwv3POL",0.791,0.698,"B",-6.765,"minor",0.0365,0.0696,0.00206,0.166,0.788,120.468,255453,4,"B minor",39,"Blur"
"37","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Trouble in the Message Centre - 2012 Remastered Version","1SxODt1n2twfDTDbtjLTwe",0.361,0.959,"C#",-5.821,"major",0.0651,0.00293,2.48e-06,0.633,0.383,139.591,249040,4,"C# major",31,"Blur"
"38","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Clover Over Dover - 2012 Remastered Version","6jG5Tbe6kPDccZtytSITZE",0.575,0.686,"C#",-9.057,"minor",0.0282,0.0998,0.000144,0.367,0.936,118.101,202253,4,"C# minor",35,"Blur"
"39","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Magic America - 2012 Remastered Version","1JMLJelqlzApRVW9eudU7d",0.6,0.783,"F#",-6.268,"major",0.0308,0.155,0,0.621,0.871,99.8,217907,4,"F# major",31,"Blur"
"40","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Jubilee - 2012 Remastered Version","3OpMT1gZJO0gls1qUD60jb",0.512,0.943,"D",-5.741,"major",0.106,0.00158,0,0.134,0.498,130.18,167640,4,"D major",30,"Blur"
"41","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"This Is a Low - 2012 Remastered Version","4K3bpIgEJRa62XeH2zb7zc",0.265,0.5,"A",-8.661,"major",0.0325,0.211,0.00157,0.111,0.32,169.984,316907,4,"A major",33,"Blur"
"42","0YS25Dr3hMtMFlVTfuvzl4","Parklife","https://i.scdn.co/image/f0dbe6703b0d94fc54d764ad98079f4f10b396d5","1994-04-25",1994-04-25,47,"Lot 105 - 2012 Remastered Version","0QxHHPdb95eTxqFkaSZCD2",0.706,0.446,"C",-11.995,"major",0.48,0.0255,0.0338,0.314,0.683,81.128,79000,4,"C major",28,"Blur"
"43","3rXnMAuqzR6UQl6gBlJrDL","The Great Escape","https://i.scdn.co/image/7ac1fbc36c2392cccdb88442cd727642c73e95ed","1995-09-11",1995-09-11,40,"Stereotypes - 2012 Remastered Version","0GmbxnQnsCND5CqnHVNbd7",0.426,0.715,"F#",-6.17,"minor",0.0561,0.0694,0,0.244,0.752,108.539,191187,4,"F# minor",33,"Blur"
"44","3rXnMAuqzR6UQl6gBlJrDL","The Great Escape","https://i.scdn.co/image/7ac1fbc36c2392cccdb88442cd727642c73e95ed","1995-09-11",1995-09-11,40,"Country House - 2012 Remastered Version","7hpqbNRHs7S2kE9HGko6PS",0.331,0.885,"A",-6.606,"major",0.0924,0.205,0,0.123,0.589,175.294,236960,4,"A major",40,"Blur"
